批次,游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,起始原始关卡标签,起始原始关卡序号,最高原始关卡标签,最高原始关卡序号,最终原始关卡标签,最终原始关卡序号,最长停留原始关卡标签,最长停留原始关卡序号,是否流失,首日到最终进度差
4.4-4.8,109076103,1~7,7.0,12.0,12.0,3,12.0,4.0,12.0,107.0,112.0,112.0,2,112.0,1-07,7.0,1-12,12.0,1-12,12.0,1-12,12.0,True,5.0
4.4-4.8,109076126,1~7,8.0,13.0,13.0,3,13.0,4.333333333333333,13.0,108.0,113.0,113.0,2,113.0,1-08,8.0,1-13,13.0,1-13,13.0,1-13,13.0,True,5.0
4.4-4.8,109076280,1~7,,12.0,12.0,1,0.0,,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,
4.4-4.8,109076298,7~50,6.0,9.0,9.0,2,6.0,6.0,9.0,106.0,109.0,109.0,1,106.0,1-06,6.0,1-09,9.0,1-09,9.0,1-06,6.0,True,3.0
4.4-4.8,109076457,7~50,12.0,19.0,19.0,2,12.0,12.0,,112.0,204.0,204.0,1,112.0,1-12,12.0,2-04,19.0,2-04,19.0,1-12,12.0,False,7.0
4.4-4.8,109076496,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109076567,50~100,19.0,78.0,78.0,21,77.0,3.85,,204.0,603.0,603.0,5,506.0,2-04,19.0,6-03,78.0,6-03,78.0,5-06,66.0,False,59.0
4.4-4.8,109076599,1~7,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
4.4-4.8,109076607,1~7,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
4.4-4.8,109076633,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109076728,1~7,11.0,11.0,11.0,1,11.0,11.0,11.0,111.0,111.0,111.0,1,111.0,1-11,11.0,1-11,11.0,1-11,11.0,1-11,11.0,True,0.0
4.4-4.8,109076786,100~300,5.0,10.0,10.0,2,10.0,5.0,10.0,105.0,110.0,110.0,1,105.0,1-05,5.0,1-10,10.0,1-10,10.0,1-05,5.0,True,5.0
4.4-4.8,109076994,1~7,5.0,5.0,5.0,1,5.0,5.0,5.0,105.0,105.0,105.0,1,105.0,1-05,5.0,1-05,5.0,1-05,5.0,1-05,5.0,True,0.0
4.4-4.8,109076997,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109077018,100~300,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109077038,7~50,19.0,24.0,24.0,6,24.0,4.0,,204.0,209.0,209.0,4,204.0,2-04,19.0,2-09,24.0,2-09,24.0,2-04,19.0,False,5.0
4.4-4.8,109077222,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109077226,1~7,12.0,15.0,15.0,5,14.0,4.666666666666667,,112.0,115.0,115.0,2,112.0,1-12,12.0,1-15,15.0,1-15,15.0,1-12,12.0,False,3.0
4.4-4.8,109077324,1~7,5.0,5.0,5.0,1,5.0,5.0,5.0,105.0,105.0,105.0,1,105.0,1-05,5.0,1-05,5.0,1-05,5.0,1-05,5.0,True,0.0
4.4-4.8,109077422,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109077471,7~50,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109077579,1~7,12.0,34.0,34.0,12,30.0,3.3333333333333335,,112.0,304.0,304.0,3,209.0,1-12,12.0,3-04,34.0,3-04,34.0,2-09,24.0,False,22.0
4.4-4.8,109077652,1~7,7.0,19.0,19.0,3,19.0,6.333333333333333,19.0,107.0,204.0,204.0,1,107.0,1-07,7.0,2-04,19.0,2-04,19.0,1-07,7.0,True,12.0
4.4-4.8,109077697,7~50,15.0,15.0,15.0,3,15.0,7.5,15.0,115.0,115.0,115.0,2,115.0,1-15,15.0,1-15,15.0,1-15,15.0,1-15,15.0,True,0.0
4.4-4.8,109077767,1~7,7.0,12.0,12.0,4,12.0,3.0,12.0,107.0,112.0,112.0,1,107.0,1-07,7.0,1-12,12.0,1-12,12.0,1-07,7.0,True,5.0
4.4-4.8,109077825,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109077880,50~100,12.0,19.0,19.0,2,19.0,9.5,19.0,112.0,204.0,204.0,1,112.0,1-12,12.0,2-04,19.0,2-04,19.0,1-12,12.0,True,7.0
4.4-4.8,109077884,1~7,5.0,5.0,5.0,1,5.0,5.0,5.0,105.0,105.0,105.0,1,105.0,1-05,5.0,1-05,5.0,1-05,5.0,1-05,5.0,True,0.0
4.4-4.8,109077940,1~7,7.0,24.0,24.0,17,24.0,1.5,17.0,107.0,209.0,209.0,6,209.0,1-07,7.0,2-09,24.0,2-09,24.0,2-09,24.0,True,17.0
4.4-4.8,109077991,100~300,19.0,102.0,102.0,22,102.0,4.636363636363637,,204.0,712.0,712.0,3,607.0,2-04,19.0,7-12,102.0,7-12,102.0,6-07,82.0,False,83.0
4.4-4.8,109078059,7~50,14.0,68.0,68.0,22,68.0,3.090909090909091,,114.0,508.0,508.0,3,405.0,1-14,14.0,5-08,68.0,5-08,68.0,4-05,50.0,False,54.0
4.4-4.8,109078356,7~50,14.0,15.0,15.0,2,15.0,7.5,15.0,114.0,115.0,115.0,1,114.0,1-14,14.0,1-15,15.0,1-15,15.0,1-14,14.0,True,1.0
4.4-4.8,109078523,1~7,4.0,10.0,10.0,3,10.0,5.0,,104.0,110.0,110.0,1,104.0,1-04,4.0,1-10,10.0,1-10,10.0,1-04,4.0,False,6.0
4.4-4.8,109078577,1~7,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109079014,50~100,12.0,29.0,29.0,14,27.0,2.076923076923077,,112.0,214.0,214.0,3,210.0,1-12,12.0,2-14,29.0,2-14,29.0,2-10,25.0,False,17.0
4.4-4.8,109079199,50~100,10.0,12.0,12.0,6,12.0,2.4,12.0,110.0,112.0,112.0,3,110.0,1-10,10.0,1-12,12.0,1-12,12.0,1-10,10.0,True,2.0
4.4-4.8,109079419,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102.0,1-02,2.0,1-02,2.0,1-02,2.0,1-02,2.0,True,0.0
4.4-4.8,109079452,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109079511,7~50,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102.0,1-02,2.0,1-02,2.0,1-02,2.0,1-02,2.0,True,0.0
4.4-4.8,109079550,1~7,10.0,44.0,44.0,22,44.0,2.0,,110.0,314.0,314.0,6,314.0,1-10,10.0,3-14,44.0,3-14,44.0,3-14,44.0,False,34.0
4.4-4.8,109079579,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109079597,1~7,12.0,12.0,12.0,2,12.0,6.0,12.0,112.0,112.0,112.0,2,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109079655,7~50,19.0,19.0,19.0,3,19.0,9.5,19.0,204.0,204.0,204.0,2,204.0,2-04,19.0,2-04,19.0,2-04,19.0,2-04,19.0,True,0.0
4.4-4.8,109079875,100~300,19.0,29.0,29.0,5,27.0,6.75,,204.0,214.0,214.0,2,209.0,2-04,19.0,2-14,29.0,2-14,29.0,2-09,24.0,False,10.0
4.4-4.8,109080040,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109080068,1~7,12.0,24.0,24.0,9,24.0,3.0,,112.0,209.0,209.0,3,209.0,1-12,12.0,2-09,24.0,2-09,24.0,2-09,24.0,False,12.0
4.4-4.8,109080099,1~7,9.0,10.0,10.0,2,10.0,5.0,10.0,109.0,110.0,110.0,1,109.0,1-09,9.0,1-10,10.0,1-10,10.0,1-09,9.0,True,1.0
4.4-4.8,109080148,1~7,12.0,61.0,61.0,10,61.0,6.1,,112.0,501.0,501.0,4,501.0,1-12,12.0,5-01,61.0,5-01,61.0,5-01,61.0,False,49.0
4.4-4.8,109080441,7~50,12.0,30.0,30.0,18,29.0,1.8125,,112.0,215.0,215.0,4,204.0,1-12,12.0,2-15,30.0,2-15,30.0,2-04,19.0,False,18.0
4.4-4.8,109080622,7~50,12.0,34.0,34.0,16,33.0,3.0,,112.0,304.0,304.0,2,205.0,1-12,12.0,3-04,34.0,3-04,34.0,2-05,20.0,False,22.0
4.4-4.8,109080915,1~7,9.0,12.0,12.0,2,12.0,6.0,12.0,109.0,112.0,112.0,1,109.0,1-09,9.0,1-12,12.0,1-12,12.0,1-09,9.0,True,3.0
4.4-4.8,109081181,1~7,12.0,13.0,13.0,6,13.0,3.25,13.0,112.0,113.0,113.0,3,113.0,1-12,12.0,1-13,13.0,1-13,13.0,1-13,13.0,True,1.0
4.4-4.8,109081275,1~7,11.0,39.0,39.0,10,39.0,3.9,,111.0,309.0,309.0,3,309.0,1-11,11.0,3-09,39.0,3-09,39.0,3-09,39.0,False,28.0
4.4-4.8,109081309,1~7,10.0,14.0,14.0,5,13.0,3.25,,110.0,114.0,114.0,2,113.0,1-10,10.0,1-14,14.0,1-14,14.0,1-13,13.0,False,4.0
4.4-4.8,109081375,1~7,12.0,13.0,13.0,3,13.0,4.333333333333333,13.0,112.0,113.0,113.0,2,113.0,1-12,12.0,1-13,13.0,1-13,13.0,1-13,13.0,True,1.0
4.4-4.8,109081381,7~50,12.0,19.0,19.0,9,19.0,2.7142857142857144,,112.0,204.0,204.0,5,204.0,1-12,12.0,2-04,19.0,2-04,19.0,2-04,19.0,False,7.0
4.4-4.8,109081390,7~50,19.0,77.0,77.0,21,77.0,3.6666666666666665,,204.0,602.0,602.0,3,509.0,2-04,19.0,6-02,77.0,6-02,77.0,5-09,69.0,False,58.0
4.4-4.8,109081617,1~7,12.0,13.0,13.0,3,13.0,4.333333333333333,13.0,112.0,113.0,113.0,2,112.0,1-12,12.0,1-13,13.0,1-13,13.0,1-12,12.0,True,1.0
4.4-4.8,109081629,50~100,22.0,22.0,22.0,2,22.0,11.0,22.0,207.0,207.0,207.0,2,207.0,2-07,22.0,2-07,22.0,2-07,22.0,2-07,22.0,True,0.0
4.4-4.8,109081636,1~7,12.0,34.0,34.0,18,34.0,2.0,,112.0,304.0,304.0,4,303.0,1-12,12.0,3-04,34.0,3-04,34.0,3-03,33.0,False,22.0
4.4-4.8,109081704,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109081740,7~50,19.0,39.0,39.0,8,39.0,5.571428571428571,34.0,204.0,309.0,309.0,2,309.0,2-04,19.0,3-09,39.0,3-09,39.0,3-09,39.0,True,20.0
4.4-4.8,109081805,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109081856,1~7,6.0,13.0,13.0,5,10.0,2.5,,106.0,113.0,113.0,2,113.0,1-06,6.0,1-13,13.0,1-13,13.0,1-13,13.0,False,7.0
4.4-4.8,109081871,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109081887,1~7,12.0,17.0,17.0,2,17.0,8.5,17.0,112.0,202.0,202.0,1,112.0,1-12,12.0,2-02,17.0,2-02,17.0,1-12,12.0,True,5.0
4.4-4.8,109081933,100~300,19.0,69.0,69.0,15,69.0,4.6,,204.0,509.0,509.0,3,409.0,2-04,19.0,5-09,69.0,5-09,69.0,4-09,54.0,False,50.0
4.4-4.8,109081976,1~7,12.0,13.0,13.0,2,13.0,6.5,13.0,112.0,113.0,113.0,1,112.0,1-12,12.0,1-13,13.0,1-13,13.0,1-12,12.0,True,1.0
4.4-4.8,109081978,100~300,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109081992,100~300,12.0,74.0,74.0,20,74.0,3.8947368421052633,,112.0,514.0,514.0,4,512.0,1-12,12.0,5-14,74.0,5-14,74.0,5-12,72.0,False,62.0
4.4-4.8,109082055,7~50,9.0,19.0,19.0,8,16.0,2.6666666666666665,,109.0,204.0,204.0,4,204.0,1-09,9.0,2-04,19.0,2-04,19.0,2-04,19.0,False,10.0
4.4-4.8,109082156,7~50,12.0,29.0,29.0,3,29.0,9.666666666666666,29.0,112.0,214.0,214.0,1,112.0,1-12,12.0,2-14,29.0,2-14,29.0,1-12,12.0,True,17.0
4.4-4.8,109082194,7~50,14.0,38.0,38.0,7,38.0,5.428571428571429,,114.0,308.0,308.0,1,114.0,1-14,14.0,3-08,38.0,3-08,38.0,1-14,14.0,False,24.0
4.4-4.8,109082334,7~50,10.0,10.0,10.0,2,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
4.4-4.8,109082439,1~7,7.0,24.0,24.0,10,22.0,2.75,,107.0,209.0,209.0,2,209.0,1-07,7.0,2-09,24.0,2-09,24.0,2-09,24.0,False,17.0
4.4-4.8,109082497,100~300,19.0,24.0,24.0,3,24.0,8.0,24.0,204.0,209.0,209.0,2,209.0,2-04,19.0,2-09,24.0,2-09,24.0,2-09,24.0,True,5.0
4.4-4.8,109082564,1~7,2.0,14.0,14.0,8,9.0,1.8,9.0,102.0,114.0,114.0,2,108.0,1-02,2.0,1-14,14.0,1-14,14.0,1-08,8.0,True,12.0
4.4-4.8,109082615,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109082708,7~50,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107.0,1-07,7.0,1-07,7.0,1-07,7.0,1-07,7.0,True,0.0
4.4-4.8,109082744,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109082788,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109082855,1~7,12.0,76.0,76.0,20,76.0,3.8,,112.0,601.0,601.0,6,511.0,1-12,12.0,6-01,76.0,6-01,76.0,5-11,71.0,False,64.0
4.4-4.8,109082866,7~50,12.0,19.0,19.0,4,19.0,6.333333333333333,19.0,112.0,204.0,204.0,2,204.0,1-12,12.0,2-04,19.0,2-04,19.0,2-04,19.0,True,7.0
4.4-4.8,109082985,7~50,6.0,7.0,7.0,2,7.0,3.5,7.0,106.0,107.0,107.0,1,106.0,1-06,6.0,1-07,7.0,1-07,7.0,1-06,6.0,True,1.0
4.4-4.8,109082989,1~7,6.0,12.0,12.0,3,9.0,4.5,12.0,106.0,112.0,112.0,1,106.0,1-06,6.0,1-12,12.0,1-12,12.0,1-06,6.0,True,6.0
4.4-4.8,109083035,7~50,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109083054,7~50,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109083129,100~300,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109083204,1~7,4.0,6.0,6.0,2,4.0,4.0,6.0,104.0,106.0,106.0,1,104.0,1-04,4.0,1-06,6.0,1-06,6.0,1-04,4.0,True,2.0
4.4-4.8,109083249,7~50,8.0,9.0,9.0,3,8.0,4.0,9.0,108.0,109.0,109.0,2,109.0,1-08,8.0,1-09,9.0,1-09,9.0,1-09,9.0,True,1.0
4.4-4.8,109083532,7~50,7.0,11.0,11.0,3,11.0,3.6666666666666665,11.0,107.0,111.0,111.0,1,107.0,1-07,7.0,1-11,11.0,1-11,11.0,1-07,7.0,True,4.0
4.4-4.8,109083662,7~50,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109083869,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109083872,1~7,6.0,10.0,10.0,12,10.0,1.25,10.0,106.0,110.0,110.0,4,110.0,1-06,6.0,1-10,10.0,1-10,10.0,1-10,10.0,True,4.0
